id,name,year,artist_id,category_id
236,Joe,1445,2217,17
237,Patricia,1683,399,66
238,Joel,1037,2279,32
239,Anna,1627,11,13
240,Charles,1282,3610,58
241,Peter,1895,4325,72
242,Calvin,1522,948,141
243,Cassidy,1970,3397,6
244,Richard,1163,944,45
245,Lisa,2012,270,89
246,James,1723,3870,121
247,Jaime,1854,687,106
248,Dale,1610,1393,131
249,Willie,1973,3500,67
250,Kelly,1440,706,5
251,Christopher,1553,978,94
252,Shaun,1315,1910,0
253,Kevin,1978,658,57
254,Stacey,1819,1213,25
255,Lauren,2008,2330,113
256,Kayla,1036,2288,83
257,Corey,916,4716,42
258,Melissa,1861,4961,12
259,Joel,1418,666,43
260,Spencer,1425,4583,109
261,Julia,1326,3120,115
262,Karen,1066,3418,77
263,Marcus,1976,246,5
264,Rebecca,1226,1559,10
265,Charles,833,531,130
266,Tamara,1105,2278,45
267,Scott,1208,1120,116
268,Michael,870,4403,2
269,Andrea,1804,200,24
270,Sergio,1333,2053,103
271,Susan,962,4671,49
272,Melinda,1560,4996,60
273,Jessica,1894,3909,139
274,Carol,1302,3388,43
275,Eric,1728,3897,37
276,David,1860,2727,64
277,Michael,1500,806,48
278,Michelle,1203,2264,43
279,Steve,1614,3781,83
280,Gerald,1516,2125,31
281,Eric,1285,3293,36
282,Susan,1536,1950,59
283,Danielle,1006,759,132
284,Christopher,1145,3091,35
285,Beth,766,3572,7
286,James,1348,1256,114
287,Andrew,1411,2188,131
288,John,1527,521,124
289,Benjamin,994,3004,106
290,Kyle,1874,132,101
291,Lindsey,1618,3892,114
292,Andrea,1432,847,104
293,Sheryl,1877,3028,67
294,Olivia,893,3403,43
295,Joel,1639,4782,4
296,Zachary,1769,1626,90
297,Brian,1517,2645,18
298,Brandon,1788,2208,123
299,Kelsey,1187,964,44
300,Erin,862,1726,32
301,Elizabeth,966,1171,65
302,Taylor,1187,2412,40
303,Douglas,1392,112,94
304,James,1894,1731,78
305,David,1070,875,136
306,Charles,836,4801,74
307,Laura,1963,2431,104
308,Glenda,1834,4976,13
309,Brian,1190,66,18
310,Timothy,1429,1677,25
311,Joseph,1632,3090,76
312,Gregory,805,3645,19
313,John,785,3365,94
314,Whitney,1037,251,22
315,Brian,1970,3787,104
316,Frank,1372,4405,116
317,Gary,911,1233,86
318,Christina,1119,82,16
319,Russell,1571,2756,92
320,Kelli,1759,4763,25
321,Lisa,1111,1220,3
322,Stephen,1390,1768,4
323,Michael,1499,3163,84
324,Sandra,1491,1835,109
325,Deborah,836,3379,53
326,Scott,1399,3959,88
327,Chris,1460,3327,38
328,Ian,1963,476,53
329,Jacqueline,1340,2319,118
330,Nicholas,1631,2322,81
331,Jacqueline,1780,2986,50
332,Jerry,1451,4258,21
333,Tommy,1908,2775,134
334,Karen,1635,3612,99
335,Kevin,1318,3746,29
336,Crystal,1766,1859,27
337,Sean,1098,4509,135
338,Alyssa,1630,1428,52
339,Victor,1894,2766,73
340,Melanie,1422,2667,38
341,Brandi,877,3440,76
342,Melvin,1682,1007,25
343,Maria,957,4329,76
344,Donald,997,509,50
345,Elizabeth,1160,3581,13
346,Shane,1463,4332,98
347,Jessica,1564,2722,107
348,Jay,1731,251,96
349,Janet,1016,219,20
350,Michael,1819,4605,38
351,Samantha,893,2387,31
352,Kimberly,1943,187,138
353,Christopher,1172,508,107
354,Sierra,1396,1862,108
355,Leah,1182,2415,119
356,James,1856,3760,59
357,Dave,1357,3875,109
358,Shane,1854,17,10
359,Robert,1281,4745,40
360,Nicole,1383,4183,104
361,Mallory,1274,1918,92
362,Mark,1190,3797,62
363,Toni,792,3233,121
364,Sandra,837,1585,122
365,Anthony,999,1487,53
366,Christopher,1849,2354,89
367,Jordan,1067,196,136
368,Jose,911,1074,112
369,Megan,969,1558,75
370,Martin,837,3515,41
371,Alison,1287,4888,136
372,Anthony,1877,1885,99
373,Michelle,877,1272,89
374,Keith,771,984,143
375,Nicole,1535,65,133
376,Kevin,1187,4477,55
377,Brian,943,4684,23
378,Carla,972,4492,29
379,Ronald,1175,9,55
380,Cynthia,1818,4319,109
381,Melinda,800,4993,115
382,Jessica,1165,3720,71
383,Erica,824,683,97
384,Richard,1956,3178,136
385,Ronnie,1893,170,103
386,Elizabeth,840,3066,1
387,Jonathan,1317,2067,44
388,Courtney,1323,3572,2
389,Victoria,1869,1388,19
390,Tiffany,987,3582,27
391,Julie,1015,1756,1
392,Kevin,1206,2113,76
393,George,882,382,115
394,Brooke,1911,1759,44
395,Mark,1924,317,36
396,Mario,1060,1175,104
397,Joshua,861,3710,141
398,Julie,1953,1016,137
399,Stephanie,942,4999,129
400,Jonathon,1666,2202,97
401,Anne,1419,1478,128
402,Steven,1130,2708,65
403,Jacob,1488,2673,2
404,Jessica,1235,3606,91
405,Brian,1932,903,17
406,Brooke,1516,2086,63
407,Brian,1625,2696,126
408,Patrick,1313,1189,45
409,Daniel,990,2546,35
410,Collin,1671,1561,62
411,David,1036,1102,41
412,Kayla,1643,4969,38
413,Steven,1691,858,80
414,Jeremy,1237,982,95
415,Michael,1390,664,20
416,Karen,1019,1290,49
417,Brian,1708,2056,88
418,Dennis,1772,3820,54
419,Michael,1297,4165,100
420,Matthew,1234,2694,13
421,Leslie,1511,2593,26
422,Gregory,2011,924,16
423,Tony,1945,3070,62
424,Kimberly,1665,2008,138
425,Scott,1228,4918,83
426,Matthew,862,1778,29
427,Ronald,2002,2826,72
428,Tamara,1444,2657,70
429,Autumn,1965,1451,0
430,David,1590,3385,8
431,Ashley,1290,77,87
432,Andrea,1382,3606,87
433,Nicholas,1729,1338,129
434,Karen,1199,1376,72
435,Brian,1460,1350,135
436,Justin,1894,2109,37
437,Victoria,1879,3822,36
438,Catherine,1439,1332,125
439,Alex,1233,4081,47
440,Ashlee,1209,4006,128
441,Christian,1749,3599,138
442,Nicholas,1309,1431,15
443,Reginald,1348,3361,42
444,Amanda,1818,1031,125
445,Sarah,770,568,76
446,Jon,1189,3266,22
447,Denise,1947,457,80
448,Kimberly,897,472,33
449,Garrett,872,1594,25
450,Lauren,1662,3408,98
451,Theresa,920,1094,118
452,Jennifer,1173,1940,84
453,Bethany,1051,2809,41
454,Erin,1741,3928,54
455,Michael,1673,3760,137
456,Melody,981,1942,59
457,Robert,920,2917,35
458,Dean,900,2297,115
459,Courtney,1720,2983,84
460,Scott,1802,264,134
461,William,903,1009,107
462,Dan,1292,166,29
463,Terri,1636,1381,89
464,Jeremy,1352,4513,31
465,Trevor,1818,2033,38
466,Jerry,972,3585,27
467,David,1778,692,86
468,Brian,1053,2643,102
469,Ashley,1914,2292,131
470,Cynthia,872,148,56
471,Taylor,787,4446,28
472,Jenna,821,1647,120
473,Christopher,1056,4117,96
474,Samantha,1799,1286,38
475,Brittany,1498,4601,115
476,Andrea,1973,3052,116
477,Craig,1034,3022,1
478,John,1753,240,69
479,Robin,1792,3367,144
480,William,1493,2748,19
481,Dana,1911,1242,31
482,Matthew,1894,4412,108
483,Samuel,856,2193,124
484,Jamie,1730,203,57
485,Jerry,1133,799,26
486,Ryan,1042,1654,108
487,Donna,1401,1269,25
488,Austin,1405,3160,116
489,Loretta,1367,4765,118
490,Beth,1285,2822,40
491,Elizabeth,1225,4364,87
492,Christopher,1431,3821,106
493,Cameron,1159,2210,133
494,Ricardo,1271,1817,104
495,Doris,1826,1272,40
496,Shelley,1139,3781,113
497,Kenneth,842,3177,49
498,Amanda,1951,2119,87
499,Samantha,766,2512,35
500,Lisa,1416,878,117
501,Michael,1317,4330,89
502,Kimberly,1387,881,33
503,Christopher,1847,2881,75
504,Kaitlin,1710,3579,110
505,Felicia,1005,75,61
506,Oscar,1833,4952,59
507,Robert,979,2441,72
508,Joe,1378,159,106
509,Mark,1221,1686,105
510,Steven,1966,4694,70
511,William,1267,1022,45
512,Jay,1625,4527,37
513,Timothy,1544,358,72
514,Jeremy,770,4361,26
515,Sierra,985,780,124
516,Timothy,1133,2569,58
517,Colleen,911,4820,97
518,Benjamin,1083,1850,139
519,Charlotte,1061,4657,69
520,Sean,1285,4400,40
521,Kelly,1556,1817,77
522,Katherine,1115,1498,124
523,Linda,1612,1142,13
524,Katie,1733,3436,96
525,Mark,2021,1394,132
526,Benjamin,953,2132,137
527,Crystal,1690,207,15
528,Rebekah,1063,4397,40
529,Patrick,1020,188,24
530,Hector,1137,4676,4
531,Elizabeth,1159,1126,69
532,Amber,946,2841,109
533,Courtney,840,4651,140
534,Tonya,939,1086,116
535,Patricia,1863,3189,89
536,Donna,1166,4785,9
537,Danny,819,4072,140
538,Scott,1009,4384,124
539,Gina,837,3825,34
540,Donald,2022,4981,3
541,Hunter,1063,4175,46
542,Kevin,1589,922,110
543,Cory,805,3386,140
544,Elizabeth,1483,1477,49
545,Gregory,1527,562,88
546,Rebecca,1977,2333,53
547,Albert,1151,3973,2
548,Amy,788,355,30
549,Suzanne,1579,4175,2
550,Stephanie,1922,3293,110
551,Steven,1927,510,17
552,Derrick,1923,1557,31
553,Michele,1828,3740,17
554,David,1467,858,34
555,James,1036,311,113
556,Steven,1912,1874,133
557,Daniel,1609,4776,82
558,Kayla,1305,1884,84
559,Ashley,1275,4551,131
560,Erin,1657,3986,68
561,Linda,930,2954,9
562,James,1790,1904,90
563,Deanna,1904,4113,34
564,Walter,844,1098,82
565,Robert,1789,4649,114
566,Ashley,1998,3781,31
567,Kelly,1734,622,68
568,Duane,1066,1003,13
569,Michele,1577,2840,73
570,Roberto,1627,4876,48
571,Joseph,1804,3424,48
572,Karen,1864,2678,97
573,Michele,1057,2357,3
574,Megan,1503,4823,74
575,Felicia,1227,2873,0
576,Michele,771,1832,105
577,Angela,1024,2519,9
578,Matthew,1013,4567,16
579,Elizabeth,1838,3075,18
580,Manuel,858,1225,135
581,Jason,1172,476,107
582,Brian,1929,3243,87
583,Grace,899,1706,70
584,Laurie,940,2342,127
585,Audrey,966,3730,71
586,Kimberly,991,476,37
587,Christina,1253,358,103
588,Dorothy,834,345,1
589,Chad,1139,32,136
590,Elizabeth,1413,732,1
591,Gwendolyn,918,2712,95
592,Susan,1586,4642,138
593,Anthony,1941,4997,23
594,Brittany,1142,3592,47
595,Barry,1343,4111,78
596,Amanda,1911,4505,105
597,Julia,1206,3634,110
598,Joseph,1446,4081,66
599,Samantha,1111,806,79
600,Michael,1421,3698,116
601,Anna,886,1872,3
602,Benjamin,1118,451,6
603,Lindsay,1892,3342,128
604,Donna,1030,4607,116
605,Danielle,1154,1169,85
606,Joan,1781,3045,83
607,Michael,1147,2987,84
608,Melanie,1780,692,111
609,Jeffrey,1866,1530,100
610,Stephen,804,2749,8
611,Evelyn,1376,1004,86
612,Sabrina,1858,940,48
613,Stephanie,1560,1308,49
614,James,1718,451,140
615,Donna,1846,3835,123
616,Alexis,1196,1650,44
617,Brooke,1407,1910,19
618,Trevor,1311,187,62
619,Cassandra,1596,479,20
620,Barbara,1711,1606,142
621,Mary,1996,431,24
622,Eric,1733,4882,98
623,Miguel,920,927,39
624,Melissa,948,4109,84
625,Ashley,1600,2069,102
626,Jill,1155,2703,2
627,Kristina,1869,1052,17
628,Andrew,1554,433,12
629,Alan,1446,2094,11
630,Michael,1408,924,102
631,Cassandra,1031,4257,5
632,Kimberly,786,1844,15
633,Rebecca,1179,839,15
634,Patricia,1448,3514,20
635,Elaine,850,4055,84
636,Virginia,1006,2689,33
637,Candice,1852,3948,130
638,Jody,1706,4515,73
639,Donna,1890,1155,60
640,Lindsay,1153,505,61
641,Karen,1069,1246,70
642,William,1400,3612,21
643,Wanda,1407,277,9
644,Suzanne,1986,680,41
645,Dawn,1998,2432,137
646,Alan,1510,4902,39
647,Stacey,1164,4961,11
648,Derek,1436,1952,45
649,Carol,1882,1988,72
650,Tanner,805,1932,43
651,Kathryn,1619,706,84
652,Laura,955,1689,63
653,Betty,1609,773,71
654,Elizabeth,1712,3108,117
655,Bridget,1458,2167,114
656,Jonathan,1621,2067,22
657,Charles,1365,4762,139
658,Margaret,1818,3843,97
659,Curtis,1263,3095,134
660,Michael,1527,1069,144
661,Michael,1988,56,127
662,Hannah,1862,4172,122
663,Larry,1700,4081,16
664,Jeffery,1538,548,102
665,Greg,1759,4532,41
666,Justin,838,320,100
667,Sarah,1653,3753,31
668,Charlotte,1654,1578,92
669,Stephen,1815,1507,111
670,Shawn,772,3906,105
671,Stacy,1772,274,100
672,Glenn,1956,4460,53
673,Rebecca,1398,3257,121
674,Kenneth,1002,3076,47
675,William,950,572,55
676,Mary,1844,1633,9
677,Mark,1398,121,83
678,Kimberly,1777,1299,67
679,Benjamin,1300,571,85
680,Theresa,1287,3753,93
681,Regina,1039,4535,136
682,Stacy,1756,2920,110
683,Susan,1280,2542,112
684,Jose,1621,2559,136
685,Ashley,924,2682,98
686,Anthony,1923,4701,141
687,Michelle,1240,4901,103
688,Dalton,1899,3312,71
689,Adam,1583,3723,89
690,Andrea,1162,3600,38
691,Jerry,1475,3564,74
692,Leslie,1720,370,139
693,Aaron,2003,431,98
694,Thomas,1961,2176,31
695,Heather,841,694,108
696,Kimberly,1430,708,42
697,Mario,1204,824,62
698,Alexa,1567,1557,30
699,Suzanne,1851,837,28
700,Austin,990,986,6
701,Melissa,1050,521,90
702,Rachel,1038,3399,142
703,Kyle,1848,3977,113
704,Ryan,1542,3172,76
705,Jason,1022,148,142
706,Michael,988,3340,5
707,Vanessa,1207,3548,75
708,Evan,1483,2416,11
709,David,1981,1123,70
710,Harry,1102,3552,94
711,Joseph,1085,4380,40
712,Amanda,1210,4534,77
713,Katie,1367,2372,75
714,Lindsey,980,3236,39
715,Judy,1148,422,109
716,Richard,1520,4978,98
717,Debra,1495,190,143
718,Kara,838,714,6
719,William,1432,2341,90
720,Judy,1318,3440,22
721,Michael,1389,4674,88
722,Joshua,1473,1847,44
723,Shawn,1909,4413,52
724,Luis,1005,95,52
725,Shelby,1756,4319,140
726,Morgan,1332,1887,92
727,George,1974,4565,10
728,Megan,1258,4190,134
729,Dennis,1934,2600,100
730,Sharon,1191,1500,129
731,Michael,1649,2360,141
732,Leonard,1213,3409,59
733,Miguel,1457,1857,45
734,Jennifer,1572,2376,77
735,Mike,1680,2010,117
736,Natasha,1968,1119,115
737,Angel,1505,4990,27
738,Michelle,1839,1181,76
739,Troy,1383,3848,53
740,Cody,1378,558,62
741,Samuel,1660,1060,29
742,Rachel,791,624,94
743,Brandon,1046,3511,71
744,Kelsey,1036,2930,101
745,Laura,932,4836,18
746,Carlos,949,3884,58
747,Stephanie,1382,3093,52
748,Peggy,1662,418,51
749,Keith,1882,918,95
750,Kimberly,1620,3928,26
751,Shannon,1048,3847,94
752,Joshua,1013,2272,31
753,Tracie,814,1496,122
754,Elizabeth,1041,1409,73
755,Amy,1970,601,87
756,Thomas,1779,45,66
757,Kevin,1610,4256,93
758,Kimberly,1480,3085,32
759,Hannah,1073,1192,83
760,Rodney,1238,2767,64
761,Meredith,1157,2310,110
762,Cory,1147,4171,13
763,Michael,1757,2916,72
764,Laura,1006,2098,44
765,Christopher,1874,1543,69
766,Noah,1673,2790,67
767,Elizabeth,1469,4427,49
768,Ashley,1344,102,11
769,Shelby,928,3555,76
770,James,1634,829,53
771,Alan,1192,3883,126
772,William,2001,187,35
773,Robert,1418,2073,49
774,Francis,1653,2757,47
775,Julia,1994,4874,81
776,Karen,1856,4581,18
777,Patricia,810,2812,36
778,Scott,1468,751,70
779,Michael,1618,3016,48
780,Stephanie,1825,1064,104
781,Christian,1946,4073,143
782,Jeffrey,1649,4969,82
783,Brittany,1082,3546,51
784,Cathy,1246,836,59
785,Ronald,987,4777,116
786,Mary,1404,544,61
787,Kimberly,1490,2562,104
788,Teresa,1060,648,26
789,Robert,1010,3324,15
790,Terri,766,1211,70
791,Javier,1645,2737,55
792,Kathryn,1776,1562,99
793,James,1788,4914,59
794,David,1436,133,67
795,Joel,1224,4205,18
796,Evelyn,1425,328,131
797,Kara,1467,372,82
798,Nancy,1247,1731,82
799,Emily,1213,3361,131
800,Karen,1184,328,13
801,Helen,859,1273,13
802,Joshua,1483,2971,83
803,Brian,979,987,104
804,Pamela,778,3365,113
805,Morgan,1738,529,97
806,Whitney,1837,2608,33
807,James,1742,131,13
808,Christopher,1808,1196,118
809,Steven,980,303,11
810,Michael,1194,3658,15
811,Jared,826,619,110
812,Daniel,1432,4480,88
813,Robin,858,744,136
814,Kelli,960,4527,56
815,Linda,1503,4368,96
816,Andrew,873,888,66
817,Stephen,1328,1337,44
818,Joseph,1030,4628,1
819,Thomas,2006,3244,122
820,Jesus,1491,2388,138
821,Russell,1354,1231,76
822,Thomas,962,1217,139
823,Amanda,1964,1964,127
824,Elizabeth,1732,3416,84
825,Kristy,1388,4255,23
826,Dean,818,1869,121
827,Elizabeth,1751,1488,132
828,Andrew,814,1426,90
829,Timothy,1971,1582,89
830,Danielle,1126,1153,102
831,Melody,1507,781,137
832,Robert,962,1920,90
833,Margaret,1327,3853,59
834,Deborah,1042,4543,97
835,Kimberly,916,1302,9
836,Ricky,776,4184,116
837,Colin,1427,1793,53
838,Tamara,1220,361,44
839,Ashley,1727,3454,131
840,Erica,1930,3693,36
841,David,873,1187,89
842,Angela,767,1778,62
843,Lacey,1683,923,108
844,Karen,1410,3298,84
845,Susan,1438,2495,35
846,John,1504,4169,122
847,Kristine,1430,1710,88
848,Jonathan,1714,1222,43
849,Donald,933,1869,66
850,Richard,1926,4625,24
851,Ralph,1942,3234,13
852,Rick,859,4253,124
853,Susan,1007,1698,64
854,Shawna,1637,3976,141
855,Jacob,1835,3246,118
856,Stephen,1153,3677,105
857,Mark,1070,2690,113
858,Anna,1437,2024,39
859,Pamela,1453,423,3
860,Sarah,1576,2926,31
861,Ashley,1817,17,90
862,Michelle,1741,4662,15
863,Ana,1387,1037,78
864,Tiffany,1968,1901,19
865,Barbara,1399,948,102
866,Trevor,1856,1936,38
867,Ryan,1297,2778,92
868,Sandra,1711,1911,36
869,Christopher,1922,4579,60
870,Christopher,980,2580,89
871,Haley,1058,114,42
872,Alicia,1355,2144,46
873,Oscar,845,4154,131
874,Christian,2011,528,68
875,Denise,880,2568,121
876,Peter,1772,4605,108
877,Christopher,839,3231,70
878,Sierra,798,3308,93
879,Thomas,1048,490,100
880,Ryan,1986,3416,127
881,Zachary,1326,1541,59
882,Kathy,1535,2739,68
883,Marcia,1272,1836,38
884,Amanda,1298,4199,26
885,Jessica,1560,236,94
886,Frederick,1174,2627,116
887,Ann,1715,1576,95
888,Michelle,990,1532,16
889,Bryan,1101,3842,136
890,Michael,781,4007,136
891,Susan,931,39,25
892,Carolyn,1063,2345,121
893,Steven,951,1102,30
894,Jack,1451,2837,65
895,Rebecca,1803,497,132
896,Aaron,844,2763,26
897,Katherine,1706,3687,50
898,Robin,1204,1844,44
899,William,875,3201,15
900,Monica,851,4223,36
901,Jennifer,1562,1245,5
902,William,1573,161,23
903,Andrew,960,859,30
904,Jonathan,1788,2547,140
905,Michael,1430,1403,95
906,Brian,1950,1890,51
907,Desiree,1626,4619,46
908,Andrew,2004,3354,88
909,Amanda,1796,4422,140
910,William,1105,1598,32
911,Amy,1557,4723,36
912,Cynthia,1996,1553,34
913,Amber,972,294,129
914,Charles,1020,1704,57
915,Tyler,1942,2535,57
916,Cody,1982,3978,135
917,Stacy,1605,503,125
918,Scott,793,2426,127
919,Paul,1248,1345,96
920,Albert,1667,1402,103
921,Autumn,772,1077,101
922,Kathryn,1232,4985,12
923,Carla,1518,122,45
924,Brittany,1057,3781,114
925,Alison,1731,3297,121
926,James,1194,2275,59
927,Erik,2005,2721,111
928,Jeffrey,1493,1274,34
929,Jacob,1286,2411,20
930,Crystal,1379,53,36
931,Michelle,1174,1569,30
932,Richard,1194,236,91
933,Phyllis,1332,174,88
934,James,1182,376,34
935,Andrew,1704,1281,42
936,Angela,1787,1520,77
937,Justin,855,453,77
938,Andrew,924,673,143
939,Daniel,1635,248,37
940,Yolanda,1098,2639,127
941,David,1879,1412,75
942,Carol,937,2689,143
943,Nicole,1277,1777,69
944,Tracey,1141,2449,130
945,Kelly,1394,3146,128
946,Chase,1225,834,98
947,Michelle,1416,2089,20
948,Kenneth,1811,1603,46
949,Andrew,1517,4410,46
950,Donald,1896,3939,30
951,Melissa,2021,3725,30
952,Hannah,971,2672,122
953,Michael,1258,777,52
954,Richard,1214,962,13
955,Charles,1995,3546,137
956,Timothy,1977,4051,74
957,Steven,1843,811,103
958,Robert,1316,3544,83
959,Blake,1089,4634,4
960,Jennifer,999,4001,66
961,Laura,828,4555,123
962,Veronica,1406,334,117
963,Joseph,1082,1870,120
964,Kristopher,975,1582,25
965,Wyatt,1814,1111,140
966,George,1802,4809,64
967,Theodore,1852,1588,61
968,Melissa,840,2330,98
969,Douglas,1502,2902,129
970,Kyle,1097,4571,34
971,Steven,881,2646,114
972,Nancy,1017,1018,114
973,Brittany,1544,2187,141
974,Jennifer,1978,2563,87
975,Wyatt,1320,4342,27
976,Dennis,1567,3966,103
977,Kayla,1855,502,17
978,Tammie,1331,3843,77
979,Peter,938,3722,67
980,Joseph,1670,3024,78
